Action,Model,Price,Symbol,Timestamp
BUY STOCK,BlackScholes,11.533587683219537,AAPL,2025-06-15 11:59:39.395903
BUY STOCK,BlackScholes,16.240649818075028,AAPL,2025-06-15 11:43:58.388184
